web_scraper_order,web_scraper_start_url,pagination-selector,image,data,price,data2,data3
"1763618379-1","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-12.jpg","Select options","AED","895,00 AED","Dubai 7s Ticket Offer 1"
"1763618379-2","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-133.jpg","Select options","AED","895,00 AED","Dubai 7s Ticket Offer 2"
"1763618379-3","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-11111.jpg","Select options","AED","835,00 AED","Dubai 7s Ticket Offer 3"
"1763618379-4","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-1333.jpg","Select options","AED","775,00 AED","Dubai 7s Ticket Offer 4"
"1763618379-5","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-1455.jpg","Select options","AED","775,00 AED","Dubai 7s Ticket Offer 5"
"1763618379-6","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Offer-1675.jpg","Select options","AED","735,00 AED","Dubai 7s Ticket Offer 6"
"1763618379-7","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-1.jpg","Select options","AED","100,00 AED","Dubai Tuskers Dubai 7s Fan Tshirt"
"1763618379-8","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/SUPPORTER-JERSEY-copy-2.jpg","Select options","AED","220,00 AED","Dubai Tuskers Dubai 7s Replica Jersey 2025"
"1763618379-9","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/SUPPORTER-JERSEY-copy-2.jpg","Select options","AED","220,00 AED","Dubai Tuskers Dubai 7s Replica Jersey 2025 – Women"
"1763618379-10","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main.jpg","Select options","AED","100,00 AED","Dubai Tuskers Dubai 7s Singlet"
"1763618379-11","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-1.jpg","Select options","AED","100,00 AED","Dubai Tuskers Dubai 7s Women Fan Tshirt"
"1763618379-12","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main.jpg","Select options","AED","100,00 AED","Dubai Tuskers Dubai 7s Women Singlet"
"1763618379-13","https://shop.dubaituskers.com/shop/","","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-3.jpg","Select options","AED","100,00 AED","Dubai Tuskers Polo T-Shirt"
"1763618383-14","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Main-2.jpg","Select options","AED","100,00 AED","Dubai Tuskers Warm Up Tshirt"
"1763618383-15","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-3.jpg","Select options","AED","100,00 AED","Dubai Tuskers Women Polo T-Shirt"
"1763618383-16","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Main-2.jpg","Select options","AED","100,00 AED","Dubai Tuskers Women Warm Up Tshirt"
"1763618383-17","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Ball.jpg","Select options","AED","100,00 AED","Gilbert Atom Dubai Tuskers Rugby Ball"
"1763618383-18","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main.jpg","Select options","AED","100,00 AED","Kids Dubai 7s Singlet 2025"
"1763618383-19","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-1.jpg","Select options","AED","100,00 AED","Kids Dubai Tuskers Dubai 7s Fan Tshirt"
"1763618383-20","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/SUPPORTER-JERSEY-copy-2.jpg","Select options","AED","220,00 AED","Kids Dubai Tuskers Dubai 7s Replica Jersey 2025"
"1763618383-21","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/main-3.jpg","Select options","AED","100,00 AED","Kids Dubai Tuskers Polo T-Shirt"
"1763618383-22","https://shop.dubaituskers.com/shop/","https://shop.dubaituskers.com/shop/page/2/","https://shop.dubaituskers.com/wp-content/uploads/2025/10/Main-2.jpg","Select options","AED","100,00 AED","Kids Dubai Tuskers Warm Up Tshirt"
